State,Filed week ended,Initial Claims
Kansas,11/04/1995,"3,414"
Kansas,11/11/1995,"1,906"
Kansas,11/18/1995,"2,206"
Kansas,11/25/1995,"2,113"
Kansas,12/02/1995,"2,494"
Kansas,12/09/1995,"2,228"
Kansas,12/16/1995,"2,855"
Kansas,12/23/1995,"4,184"
Kansas,12/30/1995,"3,266"
Kansas,01/06/1996,"2,107"
Kansas,01/13/1996,"4,859"
Kansas,01/20/1996,"2,492"
Kansas,01/27/1996,"3,396"
Kansas,02/03/1996,"3,692"
Kansas,02/10/1996,"2,725"
Kansas,02/17/1996,"1,979"
Kansas,02/24/1996,"1,692"
Kansas,03/02/1996,"2,336"
Kansas,03/09/1996,"2,205"
Kansas,03/16/1996,"2,352"
Kansas,03/23/1996,"3,914"
Kansas,03/30/1996,"1,770"
Kansas,04/06/1996,"1,612"
Kansas,04/13/1996,"1,842"
Kansas,04/20/1996,"1,778"
Kansas,04/27/1996,"1,450"
Kansas,05/04/1996,"1,735"
Kansas,05/11/1996,"2,649"
Kansas,05/18/1996,"2,028"
Kansas,05/25/1996,"1,646"
Kansas,06/01/1996,"1,792"
Kansas,06/08/1996,"2,063"
Kansas,06/15/1996,"1,685"
Kansas,06/22/1996,"2,054"
Kansas,06/29/1996,"1,594"
Kansas,07/06/1996,"2,424"
Kansas,07/13/1996,"2,447"
Kansas,07/20/1996,"2,389"
Kansas,07/27/1996,"1,933"
Kansas,08/03/1996,"1,899"
Kansas,08/10/1996,"1,791"
Kansas,08/17/1996,"1,562"
Kansas,08/24/1996,"1,637"
Kansas,08/31/1996,"1,503"
Kansas,09/07/1996,"1,421"
Kansas,09/14/1996,"1,553"
Kansas,09/21/1996,"1,946"
Kansas,09/28/1996,"1,865"
Kansas,10/05/1996,"1,969"
Kansas,10/12/1996,"1,823"
Kansas,10/19/1996,"1,499"
Kansas,10/26/1996,"2,925"
Kansas,11/02/1996,"1,920"
Kansas,11/09/1996,"2,089"
Kansas,11/16/1996,"2,144"
Kansas,11/23/1996,"2,164"
Kansas,11/30/1996,"2,564"
Kansas,12/07/1996,"3,061"
Kansas,12/14/1996,"2,036"
Kansas,12/21/1996,"3,607"
Kansas,12/28/1996,"3,788"
Kansas,01/04/1997,"2,887"
Kansas,01/11/1997,"3,888"
Kansas,01/18/1997,"4,409"
Kansas,01/25/1997,"2,531"
Kansas,02/01/1997,"3,235"
Kansas,02/08/1997,"2,417"
Kansas,02/15/1997,"2,199"
Kansas,02/22/1997,"1,693"
Kansas,03/01/1997,"2,195"
Kansas,03/08/1997,"2,001"
Kansas,03/15/1997,"1,623"
Kansas,03/22/1997,"1,545"
Kansas,03/29/1997,"1,678"
Kansas,04/05/1997,"1,592"
Kansas,04/12/1997,"2,585"
Kansas,04/19/1997,"1,891"
Kansas,04/26/1997,"1,556"
Kansas,05/03/1997,"1,538"
Kansas,05/10/1997,"1,529"
Kansas,05/17/1997,"1,387"
Kansas,05/24/1997,"1,679"
Kansas,05/31/1997,"1,906"
Kansas,06/07/1997,"1,848"
Kansas,06/14/1997,"1,739"
Kansas,06/21/1997,"1,521"
